Date/Time,环境:场地室外空气干球温度 [C](小时),热区: 空间102:区平均气温[C](小时),热区: 空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能 [KW.h](小时),热区: 空间102 VRF风机:风机电能 [KW.h](小时),VRF热泵:VRF热泵冷却电能[KW.h](小时),VRF热泵:VRF热泵加热电能[KW.h](小时)
 01/06  22:00:00,6.075,14.73000076,45.8787751,413.7786323,-1.733757605,63.54926964,0.383618639,0,0,0
 01/06  23:00:00,5.2,14.40875377,45.57070378,411.6199734,-1.774448736,65.69152202,0.383618639,0,0,0
 01/06  24:00:00,4.4625,12.6976442,49.83181126,411.0909766,-1.914786201,72.66522119,0,0,0,0
 01/07  01:00:00,3.8875,12.15165901,50.44058547,410.9180945,-1.062947545,28.84523999,0,0,0,0
 01/07  02:00:00,3.3875,11.96741519,50.26339963,410.8614316,-1.091083712,30.10859265,0,0,0,0
 01/07  03:00:00,2.825,11.7777495,50.13403285,410.8412001,-1.117731218,31.33080229,0,0,0,0
 01/07  04:00:00,2.1625,11.56539426,49.8237626,410.8339845,-1.147331146,32.71619129,0,0,0,0
 01/07  05:00:00,1.4,11.32539545,49.38922234,410.8314149,-1.181160809,34.33348595,0,0,0,0
 01/07  06:00:00,0.6625,11.08419245,48.9859857,410.8305014,-1.216792944,36.07341242,0,0,0,0
 01/07  07:00:00,0.0875,10.8799517,48.28183581,410.8301774,-1.24923756,37.68837871,0,0,0,0
 01/07  08:00:00,-0.225,12.05202914,43.36510537,410.8300566,-1.176287731,34.14907317,0.383618639,0,0,0
 01/07  09:00:00,0.2,12.38308712,42.32977918,410.8300142,-1.111078163,31.02304718,0.383618639,0,0,0
 01/07  10:00:00,1.3125,14.3110118,40.66896564,614.7521091,-0.953482178,24.37689099,0.383618639,0,0,0
 01/07  11:00:00,2.675,14.88163766,42.31377799,723.9341681,-0.812814323,18.93343043,0.383618639,0,0,0
 01/07  12:00:00,4.1375,15.39362231,42.10200765,732.4144366,-0.762916698,17.26844736,0.383618639,0,0,0
 01/07  13:00:00,5.7,15.50202746,41.55975797,681.1569818,-0.734082879,16.34474787,0.383618639,0,0,0
 01/07  14:00:00,7.3625,16.17485751,39.91550394,669.309658,-0.67640704,14.63118711,0.383618639,0,0,0
 01/07  15:00:00,9.1875,16.82535903,39.39777658,679.6309133,-0.597666527,12.49908948,0.383618639,0,0,0
 01/07  16:00:00,10.7125,17.66380377,40.27464628,741.0075107,-0.501201095,10.27446299,0.383618639,0,0,0
 01/07  17:00:00,11.0125,17.59842725,42.46810238,739.5414492,-0.466727056,9.549772516,0.383618639,0,0,0
 01/07  18:00:00,10.4,16.95464502,43.56763973,642.1645837,-0.513657105,10.53386059,0.383618639,0,0,0
 01/07  19:00:00,9.4125,16.17587769,44.32159667,529.3863582,-0.599330593,12.55086525,0.383618639,0,0,0
 01/07  20:00:00,8.25,15.50127167,45.13482615,451.5078814,-1.644369345,58.75296735,0.383618639,0,0,0
 01/07  21:00:00,7.05,15.0707959,45.75113858,421.7623412,-1.697196097,61.60043719,0.383618639,0,0,0
 01/07  22:00:00,5.975,14.68596443,46.15333896,413.7611521,-1.741434243,63.95576162,0.383618639,0,0,0
 01/07  23:00:00,5.1625,14.37548836,46.4373024,411.6144488,-1.780111637,65.98721318,0.383618639,0,0,0
 01/07  24:00:00,4.4625,12.67058023,51.31670406,411.0890566,-1.917556808,72.79836394,0,0,0,0
 01/08  01:00:00,3.8875,12.11710609,52.41467646,410.91746,-1.065325904,28.95094761,0,0,0,0
 01/08  02:00:00,3.3875,11.92638913,52.54266053,410.8612103,-1.093611927,30.22354269,0,0,0,0
 01/08  03:00:00,2.825,11.7332748,52.47118856,410.841123,-1.120846159,31.47525541,0,0,0,0
 01/08  04:00:00,2.225,11.53157292,52.05935945,410.833958,-1.15030349,32.85672299,0,0,0,0
