日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时)
 12/06  21:00:00,6.5125,17.99971962,27.97821539,414.7478345,-1.45485779,48.45520292,5.415881507,0,16.00112098
 12/06  22:00:00,5.725,17.99985338,28.55738603,412.2971278,-0.481556507,9.84383931,5.415881507,0,17.15681636
 12/06  23:00:00,5.3125,17.99984749,28.9818959,411.856388,-0.478489879,9.781879253,5.415881507,0,17.73578767
 12/06  24:00:00,5.2,14.659429,36.41120473,411.7868363,-0.718796839,16.48527017,0,0,0
 12/07  01:00:00,5.2625,13.68661404,39.00456654,411.7687988,-0.93885116,23.61761423,0,0,0
 12/07  02:00:00,5.425,13.64802759,39.7037745,411.7631419,-0.949821507,24.05529095,0,0,0
 12/07  03:00:00,5.5,13.61262568,40.55192995,411.7611226,-0.955759013,24.29451519,0,0,0
 12/07  04:00:00,5.375,13.53154693,41.62891404,411.7604012,-0.965878252,24.70549514,0,0,0
 12/07  05:00:00,5.1125,13.41571757,42.83714924,411.7601433,-0.980462778,25.30465305,0,0,0
 12/07  06:00:00,4.75,13.27767093,44.05612785,411.7600511,-0.996791796,25.98527971,0,0,0
 12/07  07:00:00,4.4125,13.14049731,44.78642755,411.7600182,-1.01608522,26.80233138,0,0,0
 12/07  08:00:00,4.2375,17.51414627,33.97929766,411.7600047,-1.654676377,58.98362581,5.415881507,0,27.16050246
 12/07  09:00:00,4.95,17.99957351,33.35502926,411.7600007,-1.46769274,49.1486972,5.415881507,0,21.11413599
 12/07  10:00:00,6.3375,17.90522266,37.55517786,571.2838181,-1.446365901,47.99749839,5.415881507,0,7.103961046
 12/07  11:00:00,7.5875,17.87508567,39.26029954,619.9665976,-1.436007059,47.44026366,5.415881507,0,7.200517957
 12/07  12:00:00,8.625,17.80839051,38.04596787,616.687963,-1.443290442,47.83167052,5.415881507,0,4.480811791
 12/07  13:00:00,9.5,17.78672196,34.71490989,577.8777472,-1.439837153,47.6462539,5.415881507,0,5.573986432
 12/07  14:00:00,10.3,17.52335552,31.55806578,572.5017633,-1.477163839,49.6632477,5.415881507,0,0.94189276
 12/07  15:00:00,11.1625,17.49277542,28.24819034,581.2549295,-1.511335176,51.51633217,5.415881507,0,0
 12/07  16:00:00,11.9375,18.27369941,25.73336385,626.0054372,-1.436981114,47.49763093,5.415881507,0,0
 12/07  17:00:00,12.0125,18.17357547,25.40025065,617.593611,-1.424045077,46.7992043,5.415881507,0,0
 12/07  18:00:00,11.4625,17.52821279,25.49240421,545.9519667,-1.501163945,50.96695387,5.415881507,0,1.34260605
 12/07  19:00:00,10.6375,17.97045587,24.45176022,472.2148362,-1.477403596,49.6746119,5.415881507,0,8.874711713
 12/07  20:00:00,9.675,17.99984238,24.60843892,428.6513263,-1.467477387,49.13701683,5.415881507,0,11.1015862
 12/07  21:00:00,8.7375,17.99979393,25.07982774,414.8180633,-1.464374321,48.96922926,5.415881507,0,12.44309296
 12/07  22:00:00,8.025,17.99970736,25.79120106,412.31228,-0.490986876,10.03694737,5.415881507,0,13.44292392
 12/07  23:00:00,7.55,17.99970136,26.64214747,411.8595655,-0.485496283,9.924065174,5.415881507,0,14.08264627
 12/07  24:00:00,7.2125,15.11814958,32.7962227,411.7878284,-0.688700155,15.42063829,0,0,0
 12/08  01:00:00,6.975,14.18377066,35.56901613,411.769186,-0.88465028,21.52351043,0,0,0
 12/08  02:00:00,6.775,14.06345756,36.83707785,411.7632934,-0.901678528,22.16808329,0,0,0
 12/08  03:00:00,6.5125,13.94594157,38.18694185,411.7611803,-0.915584443,22.70377323,0,0,0
 12/08  04:00:00,6.15,13.80507431,39.8684252,411.7604227,-0.931072331,23.30960808,0,0,0
 12/08  05:00:00,5.6875,13.64072247,41.52101004,411.7601512,-0.949141895,24.02857,0,0,0
 12/08  06:00:00,5.1875,13.4636706,43.00506362,411.760054,-0.970176374,24.88164278,0,0,0
 12/08  07:00:00,4.75,13.29871257,44.2563677,411.7600193,-0.991495223,25.76351511,0,0,0
 12/08  08:00:00,4.5375,17.56071754,34.04872286,411.7600049,-1.637783067,58.11992944,5.415881507,0,26.39846273
 12/08  09:00:00,4.5625,17.99999188,33.01619843,411.7600008,-1.461240803,48.79988179,5.415881507,0,22.67481321
 12/08  10:00:00,4.975,18.00066667,35.56055701,573.8384854,-1.444214416,47.88162941,5.415881507,0,10.76127352
 12/08  11:00:00,5.7625,18.00157414,36.17684087,617.1373028,-1.431744584,47.2106157,5.415881507,0,10.81322142
 12/08  12:00:00,6.85,17.96773388,35.51160016,615.639421,-1.428053715,47.0124273,5.415881507,0,8.432709975
 12/08  13:00:00,7.9875,18.00172308,33.30185575,576.2189601,-1.436986005,47.49240112,5.415881507,0,9.137137381
 12/08  14:00:00,9.0875,17.79876417,31.67688533,571.9808325,-1.452892224,48.34960645,5.415881507,0,4.249803684
 12/08  15:00:00,9.9375,17.3111443,30.34085748,580.852988,-1.499048436,50.85057662,5.415881507,0,0
 12/08  16:00:00,10.3875,17.68641936,28.42044594,625.8103952,-1.494678614,50.61201073,5.415881507,0,0
