Date/Time,环境: 现场室外空气干球温度 [C](Hourly),热区: 空间102: 区域平均气温 [C](Hourly),热区: 空间102: 区域空气相对湿度[%](Hourly),热区: 空间102: 区域空气二氧化碳浓度 [ppm](Hourly),区域热舒适吸管模型 pmv [](Hourly),区域热舒适吸血鬼模型 ppd [%](Hourly),电源风扇: 风扇电能 [KWH](Hourly),热区: 空间102 vrf 供应风扇: 风扇电能 [KWH](Hourly),Vrf 热泵: vrf 热泵冷却电能 [KWH](Hourly),Vrf 热泵: vrf 热泵加热电能[KWH](Hourly),热回收: 热交换器电能 [KWH](Hourly) 
 01/07  04:00:00,2.1625,11.62153837,49.63930728,410.8386427,-1.136117123,32.18812546,0,0,0,0,0
 01/07  05:00:00,1.4,11.38057446,49.20886098,410.8330683,-1.170153989,33.80355162,0,0,0,0,0
 01/07  06:00:00,0.6625,11.13847868,48.80954212,410.8310871,-1.205976681,35.54135678,0,0,0,0,0
 01/07  07:00:00,0.0875,10.93336223,48.11038081,410.8303845,-1.238604979,37.15594827,0,0,0,0,0
 01/07  08:00:00,-0.225,12.1727637,43.0556669,410.830134,-1.161096905,33.42776336,0.09590466,0,0,0,0
 01/07  09:00:00,0.2,12.53822768,41.90417458,410.8300383,-1.089567069,30.03948682,0.09590466,0,0,0,0
 01/07  10:00:00,1.3125,14.48606849,40.29984487,623.4555953,-0.930768948,23.47874686,0.09590466,0,0,0,0
 01/07  11:00:00,2.675,15.05985066,42.06013982,751.4540312,-0.788271754,18.09807774,0.09590466,0,0,0,0
 01/07  12:00:00,4.1375,15.5591043,41.93949664,767.3569821,-0.739383838,16.51671387,0.09590466,0,0,0,0
 01/07  13:00:00,5.7,15.66133278,41.42602298,716.6140965,-0.711468202,15.65016421,0.09590466,0,0,0,0
 01/07  14:00:00,7.3625,16.35641871,39.75369352,701.8784168,-0.652794268,13.96570187,0.09590466,0,0,0,0
